lat,lon,deltaT,scenario
-88.57216851400727,318.75,0.6702423,Low Emissions
-88.57216851400727,320.625,0.6595001,Low Emissions
-88.57216851400727,322.5,0.65657043,Low Emissions
-88.57216851400727,324.375,0.6505585,Low Emissions
-88.57216851400727,326.25,0.6175232,Low Emissions
-88.57216851400727,328.125,0.61816406,Low Emissions
-88.57216851400727,330.0,0.60043335,Low Emissions
-88.57216851400727,331.875,0.57307434,Low Emissions
-88.57216851400727,333.75,0.5517578,Low Emissions
-88.57216851400727,335.625,0.5408478,Low Emissions
-88.57216851400727,337.5,0.54670715,Low Emissions
-88.57216851400727,339.375,0.5317383,Low Emissions
-88.57216851400727,341.25,0.54670715,Low Emissions
-88.57216851400727,343.125,0.5620117,Low Emissions
-88.57216851400727,345.0,0.5421448,Low Emissions
-88.57216851400727,346.875,0.52375793,Low Emissions
-88.57216851400727,348.75,0.5576172,Low Emissions
-88.57216851400727,350.625,0.5436249,Low Emissions
-88.57216851400727,352.5,0.5056915,Low Emissions
-88.57216851400727,354.375,0.53564453,Low Emissions
-88.57216851400727,356.25,0.5600586,Low Emissions
-88.57216851400727,358.125,0.5724335,Low Emissions
-86.72253095466814,0.0,-0.07600403,Low Emissions
-86.72253095466814,1.875,-0.153656,Low Emissions
-86.72253095466814,3.75,-0.104156494,Low Emissions
-86.72253095466814,5.625,-0.13964844,Low Emissions
-86.72253095466814,7.5,-0.16079712,Low Emissions
-86.72253095466814,9.375,-0.18359375,Low Emissions
-86.72253095466814,11.25,-0.24055481,Low Emissions
-86.72253095466814,13.125,-0.22819519,Low Emissions
-86.72253095466814,15.0,-0.20524597,Low Emissions
-86.72253095466814,16.875,-0.18635559,Low Emissions
-86.72253095466814,18.75,-0.1640625,Low Emissions
-86.72253095466814,20.625,-0.22787476,Low Emissions
-86.72253095466814,22.5,-0.1822815,Low Emissions
-86.72253095466814,24.375,-0.23355103,Low Emissions
-86.72253095466814,26.25,-0.15267944,Low Emissions
-86.72253095466814,28.125,-0.16015625,Low Emissions
-86.72253095466814,30.0,-0.12614441,Low Emissions
-86.72253095466814,31.875,-0.062179565,Low Emissions
-86.72253095466814,33.75,-0.024246216,Low Emissions
-86.72253095466814,35.625,-0.03955078,Low Emissions
-86.72253095466814,37.5,-0.018554688,Low Emissions
-86.72253095466814,39.375,-0.02507019,Low Emissions
-86.72253095466814,41.25,-0.024902344,Low Emissions
-86.72253095466814,43.125,-0.079437256,Low Emissions
-86.72253095466814,45.0,-0.061843872,Low Emissions
-86.72253095466814,46.875,-0.01789856,Low Emissions
-86.72253095466814,48.75,0.053710938,Low Emissions
-86.72253095466814,50.625,0.04508972,Low Emissions
-86.72253095466814,52.5,-0.032058716,Low Emissions
-86.72253095466814,54.375,0.029296875,Low Emissions
-86.72253095466814,56.25,0.04800415,Low Emissions
-86.72253095466814,58.125,0.04232788,Low Emissions
-86.72253095466814,60.0,-0.02734375,Low Emissions
-86.72253095466814,61.875,0.031082153,Low Emissions
-86.72253095466814,63.75,-0.047851562,Low Emissions
-86.72253095466814,65.625,-0.12402344,Low Emissions
-86.72253095466814,67.5,-0.09358215,Low Emissions
-86.72253095466814,69.375,-0.052734375,Low Emissions
-86.72253095466814,71.25,-0.063964844,Low Emissions
-86.72253095466814,73.125,-0.026046753,Low Emissions
-86.72253095466814,75.0,-0.06428528,Low Emissions
-86.72253095466814,76.875,-0.039382935,Low Emissions
-86.72253095466814,78.75,-0.03303528,Low Emissions
-86.72253095466814,80.625,-0.05419922,Low Emissions
-86.72253095466814,82.5,-0.03842163,Low Emissions
-86.72253095466814,84.375,-0.0014648438,Low Emissions
-86.72253095466814,86.25,-0.033203125,Low Emissions
-86.72253095466814,88.125,-0.0078125,Low Emissions
-86.72253095466814,90.0,0.038085938,Low Emissions
-86.72253095466814,91.875,0.09994507,Low Emissions
-86.72253095466814,93.75,0.1171875,Low Emissions
-86.72253095466814,95.625,0.20002747,Low Emissions
-86.72253095466814,97.5,0.236969,Low Emissions
-86.72253095466814,99.375,0.35791016,Low Emissions
-86.72253095466814,101.25,0.33480835,Low Emissions
-86.72253095466814,103.125,0.2993164,Low Emissions
-86.72253095466814,105.0,0.31999207,Low Emissions
-86.72253095466814,106.875,0.3347931,Low Emissions
-86.72253095466814,108.75,0.41244507,Low Emissions
-86.72253095466814,110.625,0.3696289,Low Emissions
-86.72253095466814,112.5,0.38591003,Low Emissions
-86.72253095466814,114.375,0.3981018,Low Emissions
-86.72253095466814,116.25,0.45263672,Low Emissions
-86.72253095466814,118.125,0.50112915,Low Emissions
-86.72253095466814,120.0,0.52197266,Low Emissions
-86.72253095466814,121.875,0.49282837,Low Emissions
-86.72253095466814,123.75,0.52619934,Low Emissions
-86.72253095466814,125.625,0.5056915,Low Emissions
-86.72253095466814,127.5,0.50634766,Low Emissions
-86.72253095466814,129.375,0.5439453,Low Emissions
-86.72253095466814,131.25,0.5525665,Low Emissions
-86.72253095466814,133.125,0.5527344,Low Emissions
-86.72253095466814,135.0,0.63442993,Low Emissions
-86.72253095466814,136.875,0.6508789,Low Emissions
-86.72253095466814,138.75,0.7034607,Low Emissions
-86.72253095466814,140.625,0.6531677,Low Emissions
-86.72253095466814,142.5,0.7228241,Low Emissions
-86.72253095466814,144.375,0.72753906,Low Emissions
-86.72253095466814,146.25,0.7843323,Low Emissions
-86.72253095466814,148.125,0.7363281,Low Emissions
-86.72253095466814,150.0,0.747406,Low Emissions
-86.72253095466814,151.875,0.7220001,Low Emissions
-86.72253095466814,153.75,0.77001953,Low Emissions
-86.72253095466814,155.625,0.8535156,Low Emissions
-86.72253095466814,157.5,0.94351196,Low Emissions
-86.72253095466814,159.375,0.8810272,Low Emissions
-86.72253095466814,161.25,1.0263672,Low Emissions
-86.72253095466814,163.125,0.9970703,Low Emissions
-86.72253095466814,165.0,1.0568085,Low Emissions
-86.72253095466814,166.875,1.0315704,Low Emissions
-86.72253095466814,168.75,1.112793,Low Emissions
-86.72253095466814,170.625,1.1502228,Low Emissions
-86.72253095466814,172.5,1.1842499,Low Emissions
-86.72253095466814,174.375,1.1933594,Low Emissions
-86.72253095466814,176.25,1.214035,Low Emissions
-86.72253095466814,178.125,1.2237854,Low Emissions
-86.72253095466814,180.0,1.1928711,Low Emissions
-86.72253095466814,181.875,1.2504883,Low Emissions
-86.72253095466814,183.75,1.2529297,Low Emissions
-86.72253095466814,185.625,1.2495117,Low Emissions
-86.72253095466814,187.5,1.2293243,Low Emissions
-86.72253095466814,189.375,1.1982422,Low Emissions
-86.72253095466814,191.25,1.1855469,Low Emissions
-86.72253095466814,193.125,1.1940155,Low Emissions
-86.72253095466814,195.0,1.190094,Low Emissions
-86.72253095466814,196.875,1.1681366,Low Emissions
-86.72253095466814,198.75,1.1152344,Low Emissions
-86.72253095466814,200.625,1.098465,Low Emissions
-86.72253095466814,202.5,1.0860901,Low Emissions
-86.72253095466814,204.375,1.0584259,Low Emissions
-86.72253095466814,206.25,1.0166016,Low Emissions
-86.72253095466814,208.125,1.0042267,Low Emissions
-86.72253095466814,210.0,0.99609375,Low Emissions
-86.72253095466814,211.875,0.9902344,Low Emissions
-86.72253095466814,213.75,0.93489075,Low Emissions
-86.72253095466814,215.625,0.8673401,Low Emissions
-86.72253095466814,217.5,0.85092163,Low Emissions
-86.72253095466814,219.375,0.8292694,Low Emissions
-86.72253095466814,221.25,0.8233948,Low Emissions
-86.72253095466814,223.125,0.80908203,Low Emissions
-86.72253095466814,225.0,0.77360535,Low Emissions
-86.72253095466814,226.875,0.7895508,Low Emissions
-86.72253095466814,228.75,0.77783203,Low Emissions
-86.72253095466814,230.625,0.71076965,Low Emissions
-86.72253095466814,232.5,0.7314453,Low Emissions
-86.72253095466814,234.375,0.7573242,Low Emissions
-86.72253095466814,236.25,0.813797,Low Emissions
-86.72253095466814,238.125,0.8881836,Low Emissions
-86.72253095466814,240.0,0.9464569,Low Emissions
-86.72253095466814,241.875,0.9638672,Low Emissions
-86.72253095466814,243.75,1.0198517,Low Emissions
-86.72253095466814,245.625,1.0922852,Low Emissions
-86.72253095466814,247.5,1.1696014,Low Emissions
-86.72253095466814,249.375,1.2946014,Low Emissions
-86.72253095466814,251.25,1.3056641,Low Emissions
-86.72253095466814,253.125,1.3966522,Low Emissions
-86.72253095466814,255.0,1.4646912,Low Emissions
-86.72253095466814,256.875,1.5914764,Low Emissions
-86.72253095466814,258.75,1.5948944,Low Emissions
-86.72253095466814,260.625,1.6560974,Low Emissions
-86.72253095466814,262.5,1.6735077,Low Emissions
-86.72253095466814,264.375,1.6759491,Low Emissions
-86.72253095466814,266.25,1.7246094,Low Emissions
-86.72253095466814,268.125,1.7412109,Low Emissions
-86.72253095466814,270.0,1.7965393,Low Emissions
-86.72253095466814,271.875,1.8087616,Low Emissions
-86.72253095466814,273.75,1.7971954,Low Emissions
-86.72253095466814,275.625,1.7688751,Low Emissions
-86.72253095466814,277.5,1.7683868,Low Emissions
-86.72253095466814,279.375,1.7727814,Low Emissions
-86.72253095466814,281.25,1.759613,Low Emissions
-86.72253095466814,283.125,1.7259216,Low Emissions
-86.72253095466814,285.0,1.7080078,Low Emissions
-86.72253095466814,286.875,1.6635742,Low Emissions
-86.72253095466814,288.75,1.6295624,Low Emissions
-86.72253095466814,290.625,1.5636292,Low Emissions
-86.72253095466814,292.5,1.5406952,Low Emissions
-86.72253095466814,294.375,1.4928436,Low Emissions
-86.72253095466814,296.25,1.4256134,Low Emissions
-86.72253095466814,298.125,1.3574219,Low Emissions
-86.72253095466814,300.0,1.3211212,Low Emissions
-86.72253095466814,301.875,1.255539,Low Emissions
-86.72253095466814,303.75,1.1734924,Low Emissions
-86.72253095466814,305.625,1.1163788,Low Emissions
-86.72253095466814,307.5,1.0701447,Low Emissions
-86.72253095466814,309.375,1.0081482,Low Emissions
-86.72253095466814,311.25,0.967926,Low Emissions
-86.72253095466814,313.125,0.8943634,Low Emissions
-86.72253095466814,315.0,0.84228516,Low Emissions
-86.72253095466814,316.875,0.7895508,Low Emissions
-86.72253095466814,318.75,0.75341797,Low Emissions
-86.72253095466814,320.625,0.704422,Low Emissions
-86.72253095466814,322.5,0.6347656,Low Emissions
-86.72253095466814,324.375,0.5991211,Low Emissions
-86.72253095466814,326.25,0.5444336,Low Emissions
-86.72253095466814,328.125,0.4765625,Low Emissions
-86.72253095466814,330.0,0.3972931,Low Emissions
-86.72253095466814,331.875,0.35839844,Low Emissions
-86.72253095466814,333.75,0.33642578,Low Emissions
-86.72253095466814,335.625,0.24414062,Low Emissions
-86.72253095466814,337.5,0.24316406,Low Emissions
-86.72253095466814,339.375,0.20297241,Low Emissions
-86.72253095466814,341.25,0.19857788,Low Emissions
-86.72253095466814,343.125,0.16926575,Low Emissions
-86.72253095466814,345.0,0.112960815,Low Emissions
-86.72253095466814,346.875,0.12809753,Low Emissions
-86.72253095466814,348.75,0.032058716,Low Emissions
-86.72253095466814,350.625,0.06266785,Low Emissions
-86.72253095466814,352.5,0.047698975,Low Emissions
-86.72253095466814,354.375,-0.0018005371,Low Emissions
-86.72253095466814,356.25,-0.04638672,Low Emissions
-86.72253095466814,358.125,-0.07194519,Low Emissions
-84.86197029204237,0.0,-0.81185913,Low Emissions
-84.86197029204237,1.875,-0.8432617,Low Emissions
-84.86197029204237,3.75,-0.7962189,Low Emissions
-84.86197029204237,5.625,-0.78108215,Low Emissions
-84.86197029204237,7.5,-0.8116913,Low Emissions
-84.86197029204237,9.375,-0.8118439,Low Emissions
-84.86197029204237,11.25,-0.7648163,Low Emissions
-84.86197029204237,13.125,-0.74446106,Low Emissions
